tą
tąp
tąpać
tąpał
tąpała
tąpałaby
tąpałabym
tąpałabyś
tąpałam
tąpałaś
tąpałby
tąpałbym
tąpałbyś
tąpałem
tąpałeś
tąpali
tąpaliby
tąpalibyście
tąpalibyśmy
tąpaliście
tąpaliśmy
tąpało
tąpałoby
tąpały
tąpałyby
tąpałybyście
tąpałybyśmy
tąpałyście
tąpałyśmy
tąpań
tąpania
tąpaniach
tąpaniami
tąpanie
tąpaniem
tąpaniom
tąpaniu
tąpano
tąpcie
tąpcież
tąpią
tąpiąc
tąpiąca
tąpiącą
tąpiące
tąpiącego
tąpiącej
tąpiącemu
tąpiący
tąpiących
tąpiącym
tąpiącymi
tąpie
tąpię
tąpiecie
tąpiemy
tąpiesz
tąpliwość
tąpliwości
tąpliwością
tąpliwościach
tąpliwościami
tąpliwościom
tąpmy
tąpmyż
tąpną
tąpnąć
tąpnął
tąpnąłby
tąpnąłbym
tąpnąłbyś
tąpnąłem
tąpnąłeś
tąpnąwszy
tąpnę
tąpnęła
tąpnęłaby
tąpnęłabym
tąpnęłabyś
tąpnęłam
tąpnęłaś
tąpnęli
tąpnęliby
tąpnęlibyście
tąpnęlibyśmy
tąpnęliście
tąpnęliśmy
tąpnęło
tąpnęłoby
tąpnęły
tąpnęłyby
tąpnęłybyście
tąpnęłybyśmy
tąpnęłyście
tąpnęłyśmy
tąpnie
tąpnięć
tąpnięcia
tąpnięciach
tąpnięciami
tąpniecie
tąpnięcie
tąpnięciem
tąpnięciom
tąpnięciu
tąpniemy
tąpniesz
tąpnięto
tąpnij
tąpnijcie
tąpnijcież
tąpnijmy
tąpnijmyż
tąpnijże
tąpże
tąż
tąże
