zda
zdać
zdacie
zdadzą
zdaj
zdają
zdając
zdająca
zdającą
zdające
zdającego
zdającej
zdającemu
zdający
zdających
zdającym
zdającymi
zdajcie
zdajcież
zdaje
zdaję
zdajecie
zdajemy
zdajesz
zdajmy
zdajmyż
zdajże
zdał
zdała
zdałaby
zdałabym
zdałabyś
zdalaczynna
zdalaczynną
zdalaczynne
zdalaczynnego
zdalaczynnej
zdalaczynnemu
zdalaczynni
zdalaczynny
zdalaczynnych
zdalaczynnym
zdalaczynnymi
zdałam
zdałaś
zdałby
zdałbym
zdałbyś
zdałem
zdałeś
zdali
zdaliby
zdalibyście
zdalibyśmy
zdaliście
zdaliśmy
zdalna
zdalną
zdalne
zdalnego
zdalnej
zdalnemu
zdalni
zdalnie
zdalny
zdalnych
zdalnym
zdalnymi
zdało
zdałoby
zdały
zdałyby
zdałybyście
zdałybyśmy
zdałyście
zdałyśmy
zdam
zdamy
zdań
zdana
zdaną
zdane
zdanego
zdanej
zdanek
zdanemu
zdani
zdania
zdaniach
zdaniami
zdanie
zdaniek
zdaniem
zdaniom
zdaniotwórcza
zdaniotwórczą
zdaniotwórcze
zdaniotwórczego
zdaniotwórczej
zdaniotwórczemu
zdaniotwórczo
zdaniotwórczy
zdaniotwórczych
zdaniotwórczym
zdaniotwórczymi
zdaniowa
zdaniową
zdaniowe
zdaniowego
zdaniowej
zdaniowemu
zdaniowi
zdaniowy
zdaniowych
zdaniowym
zdaniowymi
zdaniu
zdanka
zdańka
zdankach
zdańkach
zdankami
zdańkami
zdankiem
zdańkiem
zdanko
zdańko
zdankom
zdańkom
zdanku
zdańku
zdano
zdany
zdanych
zdanym
zdanymi
zdarć
zdarci
zdarcia
zdarciach
zdarciami
zdarcie
zdarciem
zdarciom
zdarciu
zdarł
zdarła
zdarłaby
zdarłabym
zdarłabyś
zdarłam
zdarłaś
zdarłby
zdarłbym
zdarłbyś
zdarłem
zdarłeś
zdarli
zdarliby
zdarlibyście
zdarlibyśmy
zdarliście
zdarliśmy
zdarło
zdarłoby
zdarłszy
zdarły
zdarłyby
zdarłybyście
zdarłybyśmy
zdarłyście
zdarłyśmy
zdarniować
zdarniował
zdarniowała
zdarniowałaby
zdarniowałabym
zdarniowałabyś
zdarniowałam
zdarniowałaś
zdarniowałby
zdarniowałbym
zdarniowałbyś
zdarniowałem
zdarniowałeś
zdarniowali
zdarniowaliby
zdarniowaliście
zdarniowaliśmy
zdarniowało
zdarniowałoby
zdarniowały
zdarniowałyby
zdarniowałyście
zdarniowałyśmy
zdarniowań
zdarniowana
zdarniowaną
zdarniowane
zdarniowanego
zdarniowanej
zdarniowanemu
zdarniowani
zdarniowania
zdarniowaniach
zdarniowaniami
zdarniowanie
zdarniowaniem
zdarniowaniom
zdarniowaniu
zdarniowano
zdarniowany
zdarniowanych
zdarniowanym
zdarniowanymi
zdarniowawszy
zdarniuj
zdarniują
zdarniujcie
zdarniujcież
zdarniuje
zdarniuję
zdarniujecie
zdarniujemy
zdarniujesz
zdarniujmy
zdarniujmyż
zdarniujże
zdarta
zdartą
zdarte
zdartego
zdartej
zdartemu
zdarto
zdarty
zdartych
zdartym
zdartymi
zdarz
zdarza
zdarzą
zdarzać
zdarzacie
zdarzaj
zdarzają
zdarzając
zdarzająca
zdarzającą
zdarzające
zdarzającego
zdarzającej
zdarzającemu
zdarzający
zdarzających
zdarzającym
zdarzającymi
zdarzajcie
zdarzajcież
zdarzajmy
zdarzajmyż
zdarzajże
zdarzał
zdarzała
zdarzałaby
zdarzałabym
zdarzałabyś
zdarzałam
zdarzałaś
zdarzałby
zdarzałbym
zdarzałbyś
zdarzałem
zdarzałeś
zdarzali
zdarzaliby
zdarzalibyście
zdarzalibyśmy
zdarzaliście
zdarzaliśmy
zdarzało
zdarzałoby
zdarzały
zdarzałyby
zdarzałybyście
zdarzałybyśmy
zdarzałyście
zdarzałyśmy
zdarzam
zdarzamy
zdarzań
zdarzania
zdarzaniach
zdarzaniami
zdarzanie
zdarzaniem
zdarzaniom
zdarzaniu
zdarzano
zdarzasz
zdarzcie
zdarzcież
zdarzę
zdarzeń
zdarzenia
zdarzeniach
zdarzeniami
zdarzenie
zdarzeniem
zdarzeniom
zdarzeniowa
zdarzeniową
zdarzeniowe
zdarzeniowego
zdarzeniowej
zdarzeniowemu
zdarzeniowi
zdarzeniowy
zdarzeniowych
zdarzeniowym
zdarzeniowymi
zdarzeniu
zdarzmy
zdarzmyż
zdarzono
zdarzy
zdarzyć
zdarzycie
zdarzył
zdarzyła
zdarzyłaby
zdarzyłabym
zdarzyłabyś
zdarzyłam
zdarzyłaś
zdarzyłby
zdarzyłbym
zdarzyłbyś
zdarzyłem
zdarzyłeś
zdarzyli
zdarzyliby
zdarzylibyście
zdarzylibyśmy
zdarzyliście
zdarzyliśmy
zdarzyło
zdarzyłoby
zdarzyły
zdarzyłyby
zdarzyłybyście
zdarzyłybyśmy
zdarzyłyście
zdarzyłyśmy
zdarzymy
zdarzysz
zdarzywszy
zdarzże
zdasz
zdatna
zdatną
zdatne
zdatnego
zdatnej
zdatnemu
zdatni
zdatnie
zdatniej
zdatniejsi
zdatniejsza
zdatniejszą
zdatniejsze
zdatniejszego
zdatniejszej
zdatniejszemu
zdatniejszy
zdatniejszych
zdatniejszym
zdatniejszymi
zdatność
zdatności
zdatnością
zdatnościach
zdatnościami
zdatnościom
zdatny
zdatnych
zdatnym
zdatnymi
zdawać
zdawaj
zdawajcie
zdawajcież
zdawajmy
zdawajmyż
zdawajże
zdawał
zdawała
zdawałaby
zdawałabym
zdawałabyś
zdawałam
zdawałaś
zdawałby
zdawałbym
zdawałbyś
zdawałem
zdawałeś
zdawali
zdawaliby
zdawalibyście
zdawalibyśmy
zdawaliście
zdawaliśmy
zdawalna
zdawalną
zdawalne
zdawalnego
zdawalnej
