lżą
lżąc
lżąca
lżącą
lżące
lżącego
lżącej
lżącemu
lżący
lżących
lżącym
lżącymi
lżę
lżej
lżejsi
lżejsza
lżejszą
lżejsze
lżejszego
lżejszej
lżejszemu
lżejszy
lżejszych
lżejszym
lżejszymi
lżeń
lżeni
lżenia
lżeniach
lżeniami
lżenie
lżeniem
lżeniom
lżeniu
lżona
lżoną
lżone
lżonego
lżonej
lżonemu
lżono
lżony
lżonych
lżonym
lżonymi
lży
lżyć
lżycie
lżyj
lżyjcie
lżyjcież
lżyjmy
lżyjmyż
lżyjże
lżył
lżyła
lżyłaby
lżyłabym
lżyłabyś
lżyłam
lżyłaś
lżyłby
lżyłbym
lżyłbyś
lżyłem
lżyłeś
lżyli
lżyliby
lżylibyście
lżylibyśmy
lżyliście
lżyliśmy
lżyło
lżyłoby
lżyły
lżyłyby
lżyłybyście
lżyłybyśmy
lżyłyście
lżyłyśmy
lżymy
lżysz
