lśni
lśnią
lśniąc
lśniąca
lśniącą
lśniące
lśniącego
lśniącej
lśniącemu
lśniąco
lśniącoczarna
lśniącoczarną
lśniącoczarne
lśniącoczarnego
lśniącoczarnej
lśniącoczarnemu
lśniącoczarni
lśniącoczarny
lśniącoczarnych
lśniącoczarnym
lśniącoczarnymi
lśniący
lśniących
lśniącym
lśniącymi
lśniaczek
lśniaczka
lśniaczkach
lśniaczkami
lśniaczki
lśniaczkiem
lśniaczkom
lśniaczków
lśniaczkowi
lśniaczku
lśniak
lśniaka
lśniakach
lśniakami
lśniaki
lśniakiem
lśniakom
lśniaków
lśniakowi
lśniaku
lśnić
lśnicie
lśnię
lśnień
lśnienia
lśnieniach
lśnieniami
lśnienie
lśnieniem
lśnieniom
lśnieniu
lśnij
lśnijcie
lśnijcież
lśnijmy
lśnijmyż
lśnijże
lśnił
lśniła
lśniłaby
lśniłabym
lśniłabyś
lśniłam
lśniłaś
lśniłby
lśniłbym
lśniłbyś
lśniłem
lśniłeś
lśnili
lśniliby
lśnilibyście
lśnilibyśmy
lśniliście
lśniliśmy
lśniło
lśniłoby
lśniły
lśniłyby
lśniłybyście
lśniłybyśmy
lśniłyście
lśniłyśmy
lśnimy
lśniono
lśniś
lśnisia
lśnisiach
lśnisiami
lśnisie
lśnisiem
lśnisiom
lśnisiów
lśnisiowi
lśnisiu
lśnisz
