lgną
lgnąc
lgnąć
lgnąca
lgnącą
lgnące
lgnącego
lgnącej
lgnącemu
lgnący
lgnących
lgnącym
lgnącymi
lgnął
lgnąłby
lgnąłbym
lgnąłbyś
lgnąłem
lgnąłeś
lgnę
lgnęła
lgnęłaby
lgnęłabym
lgnęłabyś
lgnęłam
lgnęłaś
lgnęli
lgnęliby
lgnęlibyście
lgnęlibyśmy
lgnęliście
lgnęliśmy
lgnęło
lgnęłoby
lgnęły
lgnęłyby
lgnęłybyście
lgnęłybyśmy
lgnęłyście
lgnęłyśmy
lgnie
lgnięć
lgnięcia
lgnięciach
lgnięciami
lgniecie
lgnięcie
lgnięciem
lgnięciom
lgnięciu
lgniemy
lgniesz
lgnięto
lgnij
lgnijcie
lgnijcież
lgnijmy
lgnijmyż
lgnijże
lgoccy
lgocka
lgocką
lgocki
lgockich
lgockie
lgockiego
lgockiej
lgockiemu
lgockim
lgockimi
lgocko
lgocku
