lęborczan
lęborczanach
lęborczanami
lęborczance
lęborczanek
lęborczanie
lęborczanin
lęborczanina
lęborczaninem
lęborczaninie
lęborczaninowi
lęborczanka
lęborczanką
lęborczankach
lęborczankami
lęborczankę
lęborczanki
lęborczanko
lęborczankom
lęborczanom
lęborczany
lęborscy
lęborska
lęborską
lęborski
lęborskich
lęborskie
lęborskiego
lęborskiej
lęborskiemu
lęborskim
lęborskimi
lęborsko
lęborskość
lęborskości
lęborskością
lęborskościach
lęborskościami
lęborskościom
lęborsku
lędyczeccy
lędyczecka
lędyczecką
lędyczecki
lędyczeckich
lędyczeckie
lędyczeckiego
lędyczeckiej
lędyczeckiemu
lędyczeckim
lędyczeckimi
lędyczecko
lędyczecku
lędzinian
lędzinianach
lędzinianami
lędziniance
lędzinianek
lędzinianie
lędzinianin
lędzinianina
lędzinianinem
lędzinianinie
lędzinianinowi
lędzinianka
lędzinianką
lędziniankach
lędziniankami
lędziniankę
lędzinianki
lędzinianko
lędziniankom
lędzinianom
lędziniany
lędzińscy
lędzińska
lędzińską
lędziński
lędzińskich
lędzińskie
lędzińskiego
lędzińskiej
lędzińskiemu
lędzińskim
lędzińskimi
lędzińsko
lędzińskość
lędzińskości
lędzińskością
lędzińskościach
lędzińskościami
lędzińskościom
lędzińsku
lędźwi
lędźwiach
lędźwiami
lędźwian
lędźwianach
lędźwianami
lędźwianem
lędźwianie
lędźwianom
lędźwianów
lędźwianowi
lędźwianu
lędźwiany
lędźwie
lędźwiom
lędźwiowa
lędźwiową
lędźwiowe
lędźwiowego
lędźwiowej
lędźwiowemu
lędźwiowi
lędźwiowy
lędźwiowych
lędźwiowym
lędźwiowymi
lęg
lęgach
lęgami
lęgi
lęgiem
lęgł
lęgła
lęgłaby
lęgłabym
lęgłabyś
lęgłam
lęgłaś
lęgłby
lęgłbym
lęgłbyś
lęgłem
lęgłeś
lęgli
lęgliby
lęglibyście
lęglibyśmy
lęgliście
lęgliśmy
lęgło
lęgłoby
lęgły
lęgłyby
lęgłybyście
lęgłybyśmy
lęgłyście
lęgłyśmy
lęgną
lęgnąc
lęgnąć
lęgnąca
lęgnącą
lęgnące
lęgnącego
lęgnącej
lęgnącemu
lęgnący
lęgnących
lęgnącym
lęgnącymi
lęgnął
lęgnąłby
lęgnąłbym
lęgnąłbyś
lęgnąłem
lęgnąłeś
lęgnę
lęgni
lęgnia
lęgnią
lęgniach
lęgniami
lęgnie
lęgnię
lęgnięć
lęgnięcia
lęgnięciach
lęgnięciami
lęgniecie
lęgnięcie
lęgnięciem
lęgnięciom
lęgnięciu
lęgniemy
lęgniesz
lęgnięto
lęgnij
lęgnijcie
lęgnijcież
lęgnijmy
lęgnijmyż
lęgnijże
lęgnio
lęgniom
lęgniowca
lęgniowcach
lęgniowcami
lęgniowce
lęgniowcem
lęgniowcom
lęgniowców
lęgniowcowi
lęgniowcu
lęgniowiec
lęgom
lęgów
lęgowa
lęgową
lęgowe
lęgowego
lęgowej
lęgowemu
lęgowi
lęgowisk
lęgowiska
lęgowiskach
lęgowiskami
lęgowiskiem
lęgowisko
lęgowiskom
lęgowisku
lęgowy
lęgowych
lęgowym
lęgowymi
lęgu
lęk
lęka
lękać
lękach
lękacie
lękaj
lękają
lękając
lękająca
lękającą
lękające
lękającego
lękającej
lękającemu
lękający
lękających
lękającym
lękającymi
lękajcie
lękajcież
lękajmy
lękajmyż
lękajże
lękał
lękała
lękałaby
lękałabym
lękałabyś
lękałam
lękałaś
lękałby
lękałbym
lękałbyś
lękałem
lękałeś
lękali
lękaliby
lękalibyście
lękalibyśmy
lękaliście
lękaliśmy
lękało
lękałoby
lękały
lękałyby
lękałybyście
