yeoman
yeomana
yeomanach
yeomanami
yeomanem
yeomanie
yeomanom
yeomanów
yeomanowi
yeomanowie
yeomany
yerb
yerba
yerbą
yerbach
yerbami
yerbę
yerbie
yerbo
yerbom
yerbowa
yerbową
yerbowe
yerbowego
yerbowej
yerbowemu
yerbowi
yerbowy
yerbowych
yerbowym
yerbowymi
yerby
yeti
