ssą
ssać
ssąc
ssąca
ssącą
ssące
ssącego
ssącej
ssącemu
ssąco
ssący
ssących
ssącym
ssącymi
ssacza
ssaczą
ssacze
ssaczego
ssaczej
ssaczemu
ssaczo
ssaczy
ssaczych
ssaczym
ssaczymi
ssak
ssaka
ssakach
ssakami
ssaki
ssakiem
ssakokształtna
ssakokształtną
ssakokształtne
ssakokształtnej
ssakokształtni
ssakokształtny
ssakokształtnym
ssakom
ssaków
ssakowi
ssakozębna
ssakozębną
ssakozębne
ssakozębnego
ssakozębnej
ssakozębnemu
ssakozębni
ssakozębny
ssakozębnych
ssakozębnym
ssakozębnymi
ssaku
ssał
ssała
ssałaby
ssałabym
ssałabyś
ssałam
ssałaś
ssałby
ssałbym
ssałbyś
ssałem
ssałeś
ssali
ssaliby
ssalibyście
ssalibyśmy
ssaliście
ssaliśmy
ssało
ssałoby
ssały
ssałyby
ssałybyście
ssałybyśmy
ssałyście
ssałyśmy
ssań
ssana
ssaną
ssane
ssanego
ssanej
ssanemu
ssani
ssania
ssaniach
ssaniami
ssanie
ssaniem
ssaniom
ssaniu
ssano
ssany
ssanych
ssanym
ssanymi
ssaw
ssawa
ssawą
ssawach
ssawami
ssawce
ssawę
ssawek
ssawie
ssawka
ssawką
ssawkach
ssawkami
ssawkę
ssawki
ssawko
ssawkom
ssawkowa
ssawkową
ssawkowe
ssawkowego
ssawkowej
ssawkowemu
ssawkowi
ssawkowy
ssawkowych
ssawkowym
ssawkowymi
ssawna
ssawną
ssawne
ssawnego
ssawnej
ssawnemu
ssawni
ssawny
ssawnych
ssawnym
ssawnymi
ssawo
ssawom
ssawy
ssę
ssie
ssiecie
ssiemy
ssiesz
ssij
ssijcie
ssijcież
ssijmy
ssijmyż
ssijże
