rżą
rżąc
rżąca
rżącą
rżące
rżącego
rżącej
rżącemu
rżach
rżący
rżących
rżącym
rżącymi
rżał
rżała
rżałaby
rżałabym
rżałabyś
rżałam
rżałaś
rżałby
rżałbym
rżałbyś
rżałem
rżałeś
rżało
rżałoby
rżały
rżałyby
rżałybyście
rżałybyśmy
rżałyście
rżałyśmy
rżami
rżana
rżaną
rżane
rżanego
rżanej
rżanemu
rżani
rżano
rżany
rżanych
rżanym
rżanymi
rże
rżę
rżeć
rżeli
rżeliby
rżelibyście
rżelibyśmy
rżeliście
rżeliśmy
rżeń
rżenia
rżeniach
rżeniami
rżenie
rżeniem
rżeniom
rżeniu
rżną
rżnąc
rżnąć
rżnąca
rżnącą
rżnące
rżnącego
rżnącej
rżnącemu
rżnący
rżnących
rżnącym
rżnącymi
rżnął
rżnąłby
rżnąłbym
rżnąłbyś
rżnąłem
rżnąłeś
rżnąwszy
rżnę
rżnęła
rżnęłaby
rżnęłabym
rżnęłabyś
rżnęłam
rżnęłaś
rżnęli
rżnęliby
rżnęlibyście
rżnęlibyśmy
rżnęliście
rżnęliśmy
rżnęło
rżnęłoby
rżnęły
rżnęłyby
rżnęłybyście
rżnęłybyśmy
rżnęłyście
rżnęłyśmy
rżniączce
rżniączek
rżniączka
rżniączką
rżniączkach
rżniączkami
rżniączkę
rżniączki
rżniączko
rżniączkom
rżnie
rżnięć
rżnięci
rżnięcia
rżnięciach
rżnięciami
rżniecie
rżnięcie
rżnięciem
rżnięciom
rżnięciu
rżniemy
rżniesz
rżnięta
rżniętą
rżnięte
rżniętego
rżniętej
rżniętemu
rżnięto
rżnięty
rżniętych
rżniętym
rżniętymi
rżnij
rżnijcie
rżnijcież
rżnijmy
rżnijmyż
rżnijże
rżom
rży
rżycie
rżyj
rżyja
rżyjach
rżyjami
rżyjcie
rżyjcież
rżyje
rżyjem
rżyjmy
rżyjmyż
rżyjom
rżyjów
rżyjowi
rżyju
rżyjże
rżymy
rżysk
rżyska
rżyskach
rżyskami
rżyskiem
rżysko
rżyskom
rżysku
rżysz
