si
sia
sią
siać
siacie
siacy
siad
siada
siądą
siadać
siadach
siadacie
siadaj
siadają
siadając
siadająca
siadającą
siadające
siadającego
siadającej
siadającemu
siadający
siadających
siadającym
siadającymi
siadajcie
siadajcież
siadajmy
siadajmyż
siadajże
siadał
siadała
siadałaby
siadałabym
siadałabyś
siadałam
siadałaś
siadałby
siadałbym
siadałbyś
siadałem
siadałeś
siadali
siadaliby
siadalibyście
siadalibyśmy
siadaliście
siadaliśmy
siadało
siadałoby
siadały
siadałyby
siadałybyście
siadałybyśmy
siadałyście
siadałyśmy
siadam
siadami
siadamy
siadań
siadania
siadaniach
siadaniami
siadanie
siadaniem
siadaniom
siadaniu
siadano
siadasz
siądę
siadem
siadł
siadła
siadłaby
siadłabym
siadłabyś
siadłam
siadłaś
siadłby
siadłbym
siadłbyś
siadłem
siadłeś
siadło
siadłoby
siadłszy
siadły
siadłyby
siadłybyście
siadłybyśmy
siadłyście
siadłyśmy
siądnięć
siądnięcia
siądnięciach
siądnięciami
siądnięcie
siądnięciem
siądnięciom
siądnięciu
siądnięto
siadom
siadów
siadowa
siadową
siadowe
siadowego
siadowej
siadowemu
siadowi
siadowy
siadowych
siadowym
siadowymi
siadu
siaduj
siadują
siadując
siadująca
siadującą
siadujące
siadującego
siadującej
siadującemu
siadujący
siadujących
siadującym
siadującymi
siadujcie
siadujcież
siaduje
siaduję
siadujecie
siadujemy
siadujesz
siadujmy
siadujmyż
siadujże
siady
siadywać
siadywał
siadywała
siadywałaby
siadywałabym
siadywałabyś
siadywałam
siadywałaś
siadywałby
siadywałbym
siadywałbyś
siadywałem
siadywałeś
siadywali
siadywaliby
siadywalibyście
siadywalibyśmy
siadywaliście
siadywaliśmy
siadywało
siadywałoby
siadywały
siadywałyby
siadywałybyście
siadywałybyśmy
siadywałyście
siadywałyśmy
siadywań
siadywania
siadywaniach
siadywaniami
siadywanie
siadywaniem
siadywaniom
siadywaniu
siadywano
siądź
siądźcie
siądźcież
siadzie
siądzie
siądziecie
siądziemy
siądziesz
siądźmy
siądźmyż
siądźże
siąg
siąga
siągach
siągami
siągi
siągiem
siągom
siągów
siągowi
siągu
siak
siaka
siaką
siąka
siąkać
siąkacie
siąkaj
siąkają
siąkając
siąkająca
siąkającą
siąkające
siąkającego
siąkającej
siąkającemu
siąkający
siąkających
siąkającym
siąkającymi
