iść
iśćcie
iśćcież
iści
iścić
iścicie
iście
iścił
iściła
iściłaby
iściłabym
iściłabyś
iściłam
iściłaś
iściłby
iściłbym
iściłbyś
iściłem
iściłeś
iścili
iściliby
iścilibyście
iścilibyśmy
iściliście
iściliśmy
iściło
iściłoby
iściły
iściłyby
iściłybyście
iściłybyśmy
iściłyście
iściłyśmy
iścimy
iścisz
iśćmy
iśćmyż
iśćże
