tną
tnąc
tnąca
tnącą
tnące
tnącego
tnącej
tnącemu
tnący
tnących
tnącym
tnącymi
tnę
tniak
tniaka
tniakach
tniakami
tniaki
tniakiem
tniakom
tniaków
tniakowi
tniaku
tnie
tniecie
tniemy
tniesz
tnij
tnijcie
tnijcież
tnijmy
tnijmyż
tnijże
