mżą
mżąc
mżąca
mżącą
mżące
mżącego
mżącej
mżącemu
mżący
mżących
mżącym
mżącymi
mżawce
mżawek
mżawka
mżawką
mżawkach
mżawkami
mżawkę
mżawki
mżawko
mżawkom
mżę
mżeń
mżenia
mżeniach
mżeniami
mżenie
mżeniem
mżeniom
mżeniu
mżono
mży
mżyć
mżycie
mżyj
mżyjcie
mżyjcież
mżyjmy
mżyjmyż
mżyjże
mżył
mżyła
mżyłaby
mżyłabym
mżyłabyś
mżyłam
mżyłaś
mżyłby
mżyłbym
mżyłbyś
mżyłem
mżyłeś
mżyli
mżyliby
mżylibyście
mżylibyśmy
mżyliście
mżyliśmy
mżyło
mżyłoby
mżyły
mżyłyby
mżyłybyście
mżyłybyśmy
mżyłyście
mżyłyśmy
mżymy
mżyści
mżyście
mżyściej
mżysta
mżystą
mżyste
mżystego
mżystej
mżystemu
mżysto
mżysty
mżystych
mżystym
mżystymi
mżysz
