zrąb
zrąbać
zrąbał
zrąbała
zrąbałaby
zrąbałabym
zrąbałabyś
zrąbałam
zrąbałaś
zrąbałby
zrąbałbym
zrąbałbyś
zrąbałem
zrąbałeś
zrąbali
zrąbaliby
zrąbalibyście
zrąbalibyśmy
zrąbaliście
zrąbaliśmy
zrąbało
zrąbałoby
zrąbały
zrąbałyby
zrąbałybyście
zrąbałybyśmy
zrąbałyście
zrąbałyśmy
zrąbań
zrąbana
zrąbaną
zrąbane
zrąbanego
zrąbanej
zrąbanemu
zrąbani
zrąbania
zrąbaniach
zrąbaniami
zrąbanie
zrąbaniem
zrąbaniom
zrąbaniu
zrąbano
zrąbany
zrąbanych
zrąbanym
zrąbanymi
zrabatować
zrabatował
zrabatowała
zrabatowałaby
zrabatowałabym
zrabatowałabyś
zrabatowałam
zrabatowałaś
zrabatowałby
zrabatowałbym
zrabatowałbyś
zrabatowałem
zrabatowałeś
zrabatowali
zrabatowaliby
zrabatowaliście
zrabatowaliśmy
zrabatowało
zrabatowałoby
zrabatowały
zrabatowałyby
zrabatowałyście
zrabatowałyśmy
zrabatowań
zrabatowana
zrabatowaną
zrabatowane
zrabatowanego
zrabatowanej
zrabatowanemu
zrabatowani
zrabatowania
zrabatowaniach
zrabatowaniami
zrabatowanie
zrabatowaniem
zrabatowaniom
zrabatowaniu
zrabatowano
zrabatowany
zrabatowanych
zrabatowanym
zrabatowanymi
zrabatowawszy
zrabatuj
zrabatują
zrabatujcie
zrabatujcież
zrabatuje
zrabatuję
zrabatujecie
zrabatujemy
zrabatujesz
zrabatujmy
zrabatujmyż
zrabatujże
zrąbawszy
zrąbcie
zrąbcież
zrabia
zrąbią
zrabiać
zrabiacie
zrabiaj
zrabiają
zrabiając
zrabiająca
zrabiającą
zrabiające
zrabiającego
zrabiającej
zrabiającemu
zrabiający
zrabiających
zrabiającym
zrabiającymi
zrabiajcie
zrabiajcież
zrabiajmy
zrabiajmyż
zrabiajże
zrabiał
zrabiała
zrabiałaby
zrabiałabym
zrabiałabyś
zrabiałam
zrabiałaś
zrabiałby
zrabiałbym
zrabiałbyś
zrabiałem
zrabiałeś
zrabiali
zrabialiby
zrabialibyście
zrabialibyśmy
zrabialiście
zrabialiśmy
zrabiało
zrabiałoby
zrabiały
zrabiałyby
zrabiałybyście
zrabiałybyśmy
zrabiałyście
zrabiałyśmy
zrabiam
zrabiamy
zrabiań
zrabiana
zrabianą
zrabiane
zrabianego
zrabianej
zrabianemu
zrabiani
zrabiania
zrabianiach
zrabianiami
zrabianie
zrabianiem
zrabianiom
zrabianiu
zrabiano
zrabiany
zrabianych
zrabianym
zrabianymi
zrabiasz
zrąbie
zrąbię
zrąbiecie
zrąbiemy
zrąbień
zrąbieni
zrąbienia
zrąbieniach
zrąbieniami
zrąbienie
zrąbieniem
zrąbieniom
zrąbieniowi
zrąbieniu
zrąbiesz
zrąbmy
zrąbmyż
zrąbnic
zrąbnica
zrąbnicą
zrąbnicach
zrąbnicami
zrąbnice
zrąbnicę
zrąbnico
zrąbnicom
zrąbnicy
zrabować
zrabował
zrabowała
zrabowałaby
zrabowałabym
zrabowałabyś
zrabowałam
zrabowałaś
zrabowałby
zrabowałbym
zrabowałbyś
zrabowałem
zrabowałeś
zrabowali
zrabowaliby
zrabowalibyście
zrabowalibyśmy
zrabowaliście
zrabowaliśmy
zrabowało
zrabowałoby
zrabowały
zrabowałyby
zrabowałybyście
zrabowałybyśmy
zrabowałyście
zrabowałyśmy
zrabowań
zrabowana
zrabowaną
zrabowane
zrabowanego
zrabowanej
zrabowanemu
zrabowani
zrabowania
zrabowaniach
zrabowaniami
zrabowanie
zrabowaniem
zrabowaniom
zrabowaniu
zrabowano
zrabowany
zrabowanych
zrabowanym
zrabowanymi
zrabowawszy
zrabuj
zrąbuj
zrabują
zrąbują
zrąbując
zrąbująca
zrąbującą
zrąbujące
zrąbującego
zrąbującej
zrąbującemu
zrąbujący
zrąbujących
zrąbującym
zrąbującymi
zrabujcie
zrąbujcie
zrabujcież
