bób
bóbr
bódł
bódłby
bódłbym
bódłbyś
bódź
bódźcie
bódźcież
bódźmy
bódźmyż
bódźże
bóg
bój
bójce
bójcie
bójcież
bójek
bójka
bójką
bójkach
bójkami
bójkę
bójki
bójko
bójkom
bójkowicz
bójkowicza
bójkowiczach
bójkowiczami
bójkowicze
bójkowiczem
bójkowiczom
bójkowiczów
bójkowiczowi
bójkowiczu
bójmy
bójmyż
bójże
ból
bólach
bólami
bólcie
bólcież
bóle
bólem
bóli
bólmy
bólmyż
bólom
bólów
bólowa
bólową
bólowe
bólowego
bólowej
bólowemu
bólowi
bólowo
bólowy
bólowych
bólowym
bólowymi
bólu
bólże
bór
bóść
bóstw
bóstwa
bóstwach
bóstwami
bóstwem
bóstwie
bóstwo
bóstwom
bóstwu
bóż
bóżcie
bóżcież
bóżmy
bóżmyż
bóżnic
bóżnica
bóżnicą
bóżnicach
bóżnicami
bóżnice
bóżnicę
bóżnico
bóżnicom
bóżnicy
bóżnicza
bóżniczą
bóżniczce
bóżnicze
bóżniczego
bóżniczej
bóżniczek
bóżniczemu
bóżniczka
bóżniczką
bóżniczkach
bóżniczkami
bóżniczkę
bóżniczki
bóżniczko
bóżniczkom
bóżniczy
bóżniczych
bóżniczym
bóżniczymi
bóżże
