łgać
łgał
łgała
łgałaby
łgałabym
łgałabyś
łgałam
łgałaś
łgałby
łgałbym
łgałbyś
łgałem
łgałeś
łgali
łgaliby
łgalibyście
łgalibyśmy
łgaliście
łgaliśmy
łgało
łgałoby
łgały
łgałyby
łgałybyście
łgałybyśmy
łgałyście
łgałyśmy
łgań
łgana
łganą
łgane
łganego
łganej
łganemu
łgani
łgania
łganiach
łganiami
łganie
łganiem
łganiom
łganiu
łgano
łgany
łganych
łganym
łganymi
łgarscy
łgarska
łgarską
łgarski
łgarskich
łgarskie
łgarskiego
łgarskiej
łgarskiemu
łgarskim
łgarskimi
łgarsko
łgarskość
łgarskości
łgarskością
łgarskościach
łgarskościami
łgarskościom
łgarsku
łgarstw
łgarstwa
łgarstwach
łgarstwami
łgarstwem
łgarstwie
łgarstwo
łgarstwom
łgarstwu
łgarz
łgarza
łgarzach
łgarzami
łgarze
łgarzem
łgarzom
łgarzów
łgarzowi
łgarzu
łgarzy
