sód
sójce
sójcza
sójczą
sójcze
sójczego
sójczej
sójczemu
sójczy
sójczych
sójczym
sójczymi
sójek
sójka
sójką
sójkach
sójkami
sójkę
sójki
sójko
sójkom
sól
sólcie
sólcież
sólmy
sólmyż
sólże
sów
sówce
sóweczce
sóweczek
sóweczka
sóweczką
sóweczkach
sóweczkami
sóweczkę
sóweczki
sóweczko
sóweczkom
sówek
sówka
sówką
sówkach
sówkami
sówkę
sówki
sówko
sówkom
sówkowaci
sówkowata
sówkowatą
sówkowate
sówkowatego
sówkowatej
sówkowatemu
sówkowaty
sówkowatych
sówkowatym
sówkowatymi
sówkówce
sówkówek
sówkówka
sówkówką
sówkówkach
sówkówkami
sówkówkę
sówkówki
sówkówko
sówkówkom
