lsną
lsnąc
lsnąć
lsnąca
lsnącą
lsnące
lsnącego
lsnącej
lsnącemu
lsnący
lsnących
lsnącym
lsnącymi
lsnął
lsnąłby
lsnąłbym
lsnąłbyś
lsnąłem
lsnąłeś
lsnę
lsnęła
lsnęłaby
lsnęłabym
lsnęłabyś
lsnęłam
lsnęłaś
lsnęli
lsnęliby
lsnęlibyście
lsnęlibyśmy
lsnęliście
lsnęliśmy
lsnęło
lsnęłoby
lsnęły
lsnęłyby
lsnęłybyście
lsnęłybyśmy
lsnęłyście
lsnęłyśmy
lsnie
lsnięć
lsnięcia
lsnięciach
lsnięciami
lsniecie
lsnięcie
lsnięciem
lsnięciom
lsnięciu
lsniemy
lsniesz
lsnięto
lsnij
lsnijcie
lsnijcież
lsnijmy
lsnijmyż
lsnijże
