sza
szabacie
szabas
szabasach
szabasami
szabasem
szabasie
szabaśna
szabaśną
szabaśne
szabaśnego
szabaśnej
szabaśnemu
szabaśni
szabaśnik
szabaśnika
szabaśnikach
szabaśnikami
szabaśniki
szabaśnikiem
szabaśnikom
szabaśników
szabaśnikowi
szabaśniku
szabaśny
szabaśnych
szabaśnym
szabaśnymi
szabasom
szabasów
szabasowa
szabasową
szabasować
szabasował
szabasowała
szabasowałaby
szabasowałabym
szabasowałabyś
szabasowałam
szabasowałaś
szabasowałby
szabasowałbym
szabasowałbyś
szabasowałem
szabasowałeś
szabasowali
szabasowaliby
szabasowaliście
szabasowaliśmy
szabasowało
szabasowałoby
szabasowały
szabasowałyby
szabasowałyście
szabasowałyśmy
szabasowań
szabasowania
szabasowaniach
szabasowaniami
szabasowanie
szabasowaniem
szabasowaniom
szabasowaniu
szabasowano
szabasówce
szabasowe
szabasowego
szabasowej
szabasówek
szabasowemu
szabasowi
szabasówka
szabasówką
szabasówkach
szabasówkami
szabasówkę
szabasówki
szabasówko
szabasówkom
szabasowy
szabasowych
szabasowym
szabasowymi
szabasu
szabasuj
szabasują
szabasując
szabasująca
szabasującą
szabasujące
szabasującego
szabasującej
szabasującemu
szabasujący
szabasujących
szabasującym
szabasującymi
szabasujcie
szabasujcież
szabasuje
szabasuję
szabasujecie
szabasujemy
szabasujesz
szabasujmy
szabasujmyż
szabasujże
szabasy
szabat
szabatach
szabatami
szabatem
szabatom
szabatów
szabatowa
szabatową
szabatować
szabatował
szabatowała
szabatowałaby
szabatowałabym
szabatowałabyś
szabatowałam
szabatowałaś
szabatowałby
szabatowałbym
szabatowałbyś
szabatowałem
szabatowałeś
szabatowali
szabatowaliby
szabatowaliście
szabatowaliśmy
szabatowało
szabatowałoby
szabatowały
szabatowałyby
szabatowałyście
szabatowałyśmy
szabatowań
szabatowania
szabatowaniach
szabatowaniami
szabatowanie
szabatowaniem
szabatowaniom
szabatowaniu
szabatowano
szabatowe
szabatowego
szabatowej
szabatowemu
szabatowi
szabatowy
szabatowych
szabatowym
szabatowymi
szabatu
szabatuj
szabatują
szabatując
szabatująca
szabatującą
szabatujące
szabatującego
szabatującej
szabatującemu
szabatujący
szabatujących
szabatującym
szabatującymi
szabatujcie
szabatujcież
szabatuje
szabatuję
szabatujecie
szabatujemy
szabatujesz
szabatujmy
szabatujmyż
szabatujże
szabaty
szabel
szabelce
szabelek
szabelka
szabelką
szabelkach
szabelkami
szabelkę
szabelki
szabelkiem
szabelko
szabelkom
szabelków
szabelkowa
szabelkową
szabelkówce
szabelkowe
szabelkowego
szabelkowej
szabelkówek
szabelkowemu
szabelkowi
szabelkówka
szabelkówką
szabelkówkach
szabelkówkami
szabelkówkę
szabelkówki
szabelkówko
szabelkówkom
szabelkowość
szabelkowości
szabelkowością
szabelkowościom
szabelkowy
szabelkowych
szabelkowym
szabelkowymi
szabelku
szabelń
szabelni
szabelnia
szabelnią
szabelniach
szabelniami
szabelnicy
szabelnicza
szabelniczą
szabelnicze
szabelniczego
szabelniczej
szabelniczemu
szabelniczy
szabelniczych
szabelniczym
szabelniczymi
szabelnie
szabelnię
szabelnik
szabelnika
szabelnikach
szabelnikami
szabelniki
szabelnikiem
szabelnikom
szabelników
szabelnikowi
szabelniku
szabelnio
szabelniom
szabeltas
szabeltasa
szabeltasach
szabeltasami
szabeltasem
szabeltasie
szabeltasom
szabeltasów
szabeltasowi
szabeltasu
szabeltasy
szaber
szaberek
szaberka
szaberkach
szaberkami
szaberki
szaberkiem
szaberkom
szaberków
szaberkowi
szaberku
szabes
szabesach
szabesami
szabesem
