łeb
łebeczek
łebeczka
łebeczkach
łebeczkami
łebeczki
łebeczkiem
łebeczkom
łebeczków
łebeczkowi
łebeczku
łebek
łebian
łebianach
łebianami
łebiance
łebianek
łebianie
łebianin
łebianina
łebianinem
łebianinie
łebianinowi
łebianka
łebianką
łebiankach
łebiankami
łebiankę
łebianki
łebianko
łebiankom
łebianom
łebiany
łebka
łebkach
łebkami
łebkarz
łebkarza
łebkarzach
łebkarzami
łebkarze
łebkarzem
łebkarzom
łebkarzowi
łebkarzu
łebkarzy
łebki
łebkiem
łebkom
łebków
łebkowa
łebkową
łebkowe
łebkowego
łebkowej
łebkowemu
łebkowi
łebkowy
łebkowych
łebkowym
łebkowymi
łebku
łebscy
łebska
łebską
łebski
łebskich
łebskie
łebskiego
łebskiej
łebskiemu
łebskim
łebskimi
łebsko
łebsku
łechcą
łechcąc
łechcąca
łechcącą
łechcące
łechcącego
łechcącej
łechcącemu
łechcący
łechcących
łechcącym
łechcącymi
łechce
łechcę
łechcecie
łechcemy
łechcesz
łechcz
łechczą
łechcząc
łechcząca
łechczącą
łechczące
łechczącego
łechczącej
łechczącemu
łechczący
łechczących
łechczącym
łechczącymi
łechczcie
łechczcież
łechcze
łechczę
łechczecie
łechczemy
łechczesz
łechczmy
łechczmyż
łechczże
łechta
łechtać
łechtacie
łechtaczce
łechtaczek
łechtaczka
łechtaczką
łechtaczkach
łechtaczkami
łechtaczkę
łechtaczki
łechtaczko
łechtaczkom
łechtaczkowa
łechtaczkową
łechtaczkowe
łechtaczkowego
łechtaczkowej
łechtaczkowemu
łechtaczkowi
łechtaczkowy
łechtaczkowych
łechtaczkowym
łechtaczkowymi
łechtaj
łechtają
łechtając
łechtająca
łechtającą
łechtające
łechtającego
łechtającej
łechtającemu
łechtający
łechtających
łechtającym
łechtającymi
łechtajcie
łechtajcież
łechtajmy
łechtajmyż
łechtajże
łechtał
łechtała
łechtałaby
łechtałabym
łechtałabyś
łechtałam
łechtałaś
łechtałby
łechtałbym
łechtałbyś
łechtałem
łechtałeś
łechtali
łechtaliby
łechtalibyście
łechtalibyśmy
łechtaliście
łechtaliśmy
łechtało
łechtałoby
łechtały
łechtałyby
łechtałybyście
łechtałybyśmy
łechtałyście
łechtałyśmy
łechtam
łechtamy
łechtań
łechtana
łechtaną
łechtane
łechtanego
łechtanej
łechtanemu
łechtani
łechtania
łechtaniach
łechtaniami
łechtanie
łechtaniem
łechtaniom
łechtaniu
łechtano
łechtany
łechtanych
łechtanym
łechtanymi
łechtasz
łechtliwa
łechtliwą
łechtliwe
łechtliwego
łechtliwej
łechtliwemu
łechtliwi
łechtliwość
łechtliwości
łechtliwością
łechtliwościach
łechtliwościami
łechtliwościom
łechtliwsi
łechtliwsza
łechtliwszą
łechtliwsze
łechtliwszego
łechtliwszej
łechtliwszemu
łechtliwszy
łechtliwszych
łechtliwszym
łechtliwszymi
łechtliwy
łechtliwych
łechtliwym
łechtliwymi
łekieńscy
łekieńska
łekieńską
łekieński
łekieńskich
łekieńskie
łekieńskiego
łekieńskiej
łekieńskiemu
łekieńskim
łekieńskimi
łekieńsko
łekieńskość
łekieńskości
łekieńskością
łekieńskościach
łekieńskościami
łekieńskościom
łekieńsku
łemkowscy
łemkowska
łemkowską
łemkowski
łemkowskich
łemkowskie
łemkowskiego
łemkowskiej
łemkowskiemu
łemkowskim
łemkowskimi
łemkowsko
łemkowskość
łemkowskości
łemkowskością
łemkowskościach
łemkowskościami
łemkowskościom
łemkowsku
łemkowszczyzn
łemkowszczyzna
łemkowszczyzną
łemkowszczyznę
łemkowszczyźnie
łemkowszczyzno
łemkowszczyznom
łemkowszczyzny
łepacy
łepak
łepaka
łepakach
łepakami
łepaki
łepakiem
łepakom
łepaków
łepakowi
łepaku
łepecie
łepeczek
łepeczka
łepeczkach
łepeczkami
łepeczki
łepeczkiem
łepeczkom
łepeczków
łepeczkowi
łepeczku
łepek
łepet
łepeta
łepetą
łepetach
łepetami
łepetę
łepeto
łepetom
łepety
łepetyn
łepetyna
łepetyną
łepetynach
łepetynami
łepetynę
łepetynie
łepetyno
łepetynom
łepetyny
łepka
łepkach
łepkami
łepki
łepkiem
łepkom
łepków
łepkowa
łepkową
łepkowe
łepkowego
łepkowej
łepkowemu
łepkowi
łepkowy
łepkowych
łepkowym
łepkowymi
łepku
łepscy
łepska
łepską
łepski
łepskich
łepskie
łepskiego
łepskiej
łepskiemu
łepskim
łepskimi
łepsko
łez
łezce
łezek
łezka
łezką
łezkach
łezkami
łezkę
łezki
łezko
łezkom
łezkowaci
łezkowata
łezkowatą
łezkowate
łezkowatego
łezkowatej
łezkowatemu
łezkowato
łezkowaty
łezkowatych
łezkowatym
łezkowatymi
