nóg
nów
nówce
nówek
nówka
nówką
nówkach
nówkami
nówkę
nówki
nówko
nówkom
nóź
nóż
nóżąt
nóżce
nóżek
nóżęta
nóżętach
nóżętami
nóżętom
nózi
nózia
nózią
nóziach
nóziami
nózie
nózię
nózio
nóziom
nóziu
nóżka
nóżką
nóżkach
nóżkami
nóżkę
nóżki
nóżko
nóżkom
nóżkowaci
nóżkowata
nóżkowatą
nóżkowate
nóżkowatego
nóżkowatej
nóżkowatemu
nóżkowaty
nóżkowatych
nóżkowatym
nóżkowatymi
nóżyn
nóżyna
nóżyną
nóżynach
nóżynami
nóżynę
nóżynie
nóżyno
nóżynom
nóżyny
