pjongjance
pjongjańczycy
pjongjańczyk
pjongjańczyka
pjongjańczykach
pjongjańczykami
pjongjańczyki
pjongjańczykiem
pjongjańczykom
pjongjańczyków
pjongjańczykowi
pjongjańczyku
pjongjanek
pjongjanka
pjongjanką
pjongjankach
pjongjankami
pjongjankę
pjongjanki
pjongjanko
pjongjankom
pjongjańscy
pjongjańska
pjongjańską
pjongjański
pjongjańskich
pjongjańskie
pjongjańskiego
pjongjańskiej
pjongjańskiemu
pjongjańskim
pjongjańskimi
pjongjańsko
pjongjańsku
