kto
ktokolwiek
która
którą
którakolwiek
którąkolwiek
któraś
którąś
któraż
którąż
które
którędy
którędykolwiek
którędyś
którędyż
którego
któregokolwiek
któregoś
któregoż
której
którejkolwiek
którejś
którejże
którekolwiek
któremu
któremukolwiek
któremuś
któremuż
któreś
któreż
który
których
którychkolwiek
którychś
którychże
którykolwiek
którym
którymi
którymikolwiek
którymiś
którymiż
którymkolwiek
którymś
którymże
któryś
któryśkolwiek
któryż
którzy
którzykolwiek
którzyś
którzyż
ktoś
ktosia
ktosiach
ktosiami
ktosie
ktosiem
ktosiom
ktosiów
ktosiowi
ktosiu
ktośkolwiek
któż
ktożkolwiek
któżże
