ukambin
ukambina
ukambiną
ukambinach
ukambinami
ukambinę
ukambinie
ukambino
ukambinom
ukambiny
ukamieniować
ukamieniował
ukamieniowała
ukamieniowałaby
ukamieniowałam
ukamieniowałaś
ukamieniowałby
ukamieniowałbym
ukamieniowałbyś
ukamieniowałem
ukamieniowałeś
ukamieniowali
ukamieniowaliby
ukamieniowało
ukamieniowałoby
ukamieniowały
ukamieniowałyby
ukamieniowań
ukamieniowana
ukamieniowaną
ukamieniowane
ukamieniowanego
ukamieniowanej
ukamieniowanemu
ukamieniowani
ukamieniowania
ukamieniowanie
ukamieniowaniem
ukamieniowaniom
ukamieniowaniu
ukamieniowano
ukamieniowany
ukamieniowanych
ukamieniowanym
ukamieniowanymi
ukamieniowawszy
ukamieniuj
ukamieniują
ukamieniujcie
ukamieniujcież
ukamieniuje
ukamieniuję
ukamieniujecie
ukamieniujemy
ukamieniujesz
ukamieniujmy
ukamieniujmyż
ukamieniujże
ukamienować
ukamienował
ukamienowała
ukamienowałaby
ukamienowałabym
ukamienowałabyś
ukamienowałam
ukamienowałaś
ukamienowałby
ukamienowałbym
ukamienowałbyś
ukamienowałem
ukamienowałeś
ukamienowali
ukamienowaliby
ukamienowaliśmy
ukamienowało
ukamienowałoby
ukamienowały
ukamienowałyby
ukamienowałyśmy
ukamienowań
ukamienowana
ukamienowaną
ukamienowane
ukamienowanego
ukamienowanej
ukamienowanemu
ukamienowani
ukamienowania
ukamienowaniach
ukamienowaniami
ukamienowanie
ukamienowaniem
ukamienowaniom
ukamienowaniu
ukamienowano
ukamienowany
ukamienowanych
ukamienowanym
ukamienowanymi
ukamienowawszy
ukamienuj
ukamienują
ukamienujcie
ukamienujcież
ukamienuje
ukamienuję
ukamienujecie
ukamienujemy
ukamienujesz
ukamienujmy
ukamienujmyż
ukamienujże
ukap
ukąp
ukapać
ukąpać
ukapał
ukąpał
ukapała
ukąpała
ukapałaby
ukąpałaby
ukapałabym
ukąpałabym
ukapałabyś
ukąpałabyś
ukapałam
ukąpałam
ukapałaś
ukąpałaś
ukapałby
ukąpałby
ukapałbym
ukąpałbym
ukapałbyś
ukąpałbyś
ukapałem
ukąpałem
ukapałeś
ukąpałeś
ukapali
ukąpali
ukapaliby
ukąpaliby
ukapalibyście
ukąpalibyście
ukapalibyśmy
ukąpalibyśmy
ukapaliście
ukąpaliście
ukapaliśmy
ukąpaliśmy
ukapało
ukąpało
ukapałoby
ukąpałoby
ukapały
ukąpały
ukapałyby
ukąpałyby
ukapałybyście
ukąpałybyście
ukapałybyśmy
ukąpałybyśmy
ukapałyście
ukąpałyście
ukapałyśmy
ukąpałyśmy
ukapań
ukąpań
ukapana
ukapaną
ukąpana
ukąpaną
ukapane
ukąpane
ukapanego
ukąpanego
ukapanej
ukąpanej
ukapanemu
ukąpanemu
ukapani
ukąpani
ukapania
ukąpania
ukapaniach
ukąpaniach
ukapaniami
ukąpaniami
ukapanie
ukąpanie
ukapaniem
ukąpaniem
ukapaniom
ukąpaniom
ukapaniu
ukąpaniu
ukapano
ukąpano
ukapany
ukąpany
ukapanych
ukąpanych
ukapanym
ukąpanym
ukapanymi
ukąpanymi
ukapawszy
ukąpawszy
ukapcie
ukąpcie
ukapcież
ukąpcież
ukapią
ukąpią
ukapie
ukapię
ukąpie
ukąpię
ukapiecie
ukąpiecie
ukapiemy
ukąpiemy
ukapiesz
ukąpiesz
ukapmy
ukąpmy
ukapmyż
ukąpmyż
ukapuj
ukapują
ukapując
ukapująca
ukapującą
ukapujące
ukapującego
ukapującej
ukapującemu
ukapujący
ukapujących
ukapującym
ukapującymi
ukapujcie
ukapujcież
ukapuje
ukapuję
ukapujecie
ukapujemy
ukapujesz
ukapujmy
ukapujmyż
ukapujże
ukapywać
ukapywał
ukapywała
ukapywałaby
ukapywałabym
ukapywałabyś
ukapywałam
ukapywałaś
ukapywałby
ukapywałbym
ukapywałbyś
ukapywałem
ukapywałeś
ukapywali
ukapywaliby
ukapywalibyście
ukapywalibyśmy
ukapywaliście
ukapywaliśmy
ukapywało
ukapywałoby
ukapywały
ukapywałyby
ukapywałybyście
ukapywałybyśmy
ukapywałyście
ukapywałyśmy
ukapywań
ukapywana
ukapywaną
ukapywane
ukapywanego
ukapywanej
ukapywanemu
ukapywani
ukapywania
ukapywaniach
ukapywaniami
ukapywanie
ukapywaniem
ukapywaniom
ukapywaniu
ukapywano
ukapywany
ukapywanych
ukapywanym
ukapywanymi
ukapże
ukąpże
ukarać
ukarał
ukarała
ukarałaby
ukarałabym
ukarałabyś
ukarałam
ukarałaś
ukarałby
ukarałbym
ukarałbyś
ukarałem
ukarałeś
ukarali
ukaraliby
ukaralibyście
ukaralibyśmy
ukaraliście
ukaraliśmy
ukarało
ukarałoby
ukarały
ukarałyby
ukarałybyście
ukarałybyśmy
ukarałyście
ukarałyśmy
ukarań
ukarana
ukaraną
ukarane
ukaranego
ukaranej
ukaranemu
ukarani
ukarania
ukaraniach
ukaraniami
ukaranie
ukaraniem
ukaraniom
ukaraniu
ukarano
ukarany
ukaranych
ukaranym
ukaranymi
ukarawszy
ukarbować
ukarbował
ukarbowała
ukarbowałaby
ukarbowałabym
ukarbowałabyś
ukarbowałam
ukarbowałaś
ukarbowałby
ukarbowałbym
ukarbowałbyś
ukarbowałem
ukarbowałeś
ukarbowali
ukarbowaliby
ukarbowalibyśmy
ukarbowaliście
ukarbowaliśmy
ukarbowało
ukarbowałoby
ukarbowały
ukarbowałyby
ukarbowałybyśmy
ukarbowałyście
ukarbowałyśmy
ukarbowań
ukarbowana
ukarbowaną
ukarbowane
ukarbowanego
ukarbowanej
ukarbowanemu
ukarbowani
ukarbowania
ukarbowaniach
ukarbowaniami
ukarbowanie
ukarbowaniem
ukarbowaniom
ukarbowaniu
ukarbowano
ukarbowany
ukarbowanych
ukarbowanym
ukarbowanymi
ukarbowawszy
ukarbuj
ukarbują
ukarbujcie
ukarbujcież
ukarbuje
ukarbuję
ukarbujecie
ukarbujemy
ukarbujesz
ukarbujmy
ukarbujmyż
ukarbujże
ukarm
ukarmcie
ukarmcież
ukarmi
ukarmia
ukarmią
ukarmiać
ukarmiacie
ukarmiaj
ukarmiają
ukarmiając
ukarmiająca
ukarmiającą
ukarmiające
ukarmiającego
ukarmiającej
ukarmiającemu
ukarmiający
ukarmiających
ukarmiającym
ukarmiającymi
ukarmiajcie
ukarmiajcież
ukarmiajmy
ukarmiajmyż
ukarmiajże
ukarmiał
ukarmiała
ukarmiałaby
ukarmiałabym
ukarmiałabyś
ukarmiałam
ukarmiałaś
ukarmiałby
ukarmiałbym
ukarmiałbyś
ukarmiałem
ukarmiałeś
ukarmiali
ukarmialiby
ukarmialibyście
ukarmialibyśmy
ukarmialiście
ukarmialiśmy
ukarmiało
ukarmiałoby
ukarmiały
ukarmiałyby
ukarmiałybyście
ukarmiałybyśmy
ukarmiałyście
ukarmiałyśmy
ukarmiam
ukarmiamy
ukarmiań
ukarmiana
ukarmianą
ukarmiane
ukarmianego
ukarmianej
ukarmianemu
ukarmiani
ukarmiania
ukarmianiach
ukarmianiami
ukarmianie
ukarmianiem
ukarmianiom
ukarmianiu
ukarmiano
ukarmiany
ukarmianych
ukarmianym
ukarmianymi
ukarmiasz
ukarmić
ukarmicie
ukarmię
ukarmień
ukarmieni
ukarmienia
ukarmieniach
ukarmieniami
ukarmienie
ukarmieniem
ukarmieniom
ukarmieniu
ukarmił
ukarmiła
ukarmiłaby
ukarmiłabym
ukarmiłabyś
ukarmiłam
ukarmiłaś
ukarmiłby
ukarmiłbym
ukarmiłbyś
ukarmiłem
ukarmiłeś
ukarmili
ukarmiliby
ukarmilibyście
ukarmilibyśmy
ukarmiliście
ukarmiliśmy
ukarmiło
ukarmiłoby
ukarmiły
ukarmiłyby
ukarmiłybyście
ukarmiłybyśmy
ukarmiłyście
ukarmiłyśmy
ukarmimy
ukarminować
ukarminował
ukarminowała
ukarminowałaby
ukarminowałabym
ukarminowałabyś
