ksenofobia
kserograf
kserografować
kserokopia
kserować
ksiądz
książę
książęcy
książeczka
książka
książkowy
księga
księgarnia
księgarz
księgi
księgowość
księgowy
księstwo
księżna
księżniczka
księżyc
księżycowy
ksylofon
kształcący
kształcić
kształt
kształtny
kształtować
kształtujący
