żebrak
żebro
żeglarski
żeglarstwo
żeglarz
żeglować
żeglowny
żegluga
żegnaj
żelatyna
żelazko
żelazny
żelazo
żelazobeton
żelbet
żeliwny
żenić
żeński
żerować
żeton
