tyciuchny
tyczka
tydzień
tyfus
tygodnik
tygodniowy
tygrys
tykać
tykanie
tyłek
tylko
tylny
tymczasem
tymczasowo
tymczasowy
tymianek
tynkować
typowo
typowy
tyrać
tyrada
tyran
tyrania
tyranizować
tyrański
tysiąc
tysiąclecie
tysięczny
tytoń
tytuł
tytularny
tytułować
tytułowy
