aparat
apart
apartament
apatia
apatyczność
apatyczny
apelacja
apelować
aperitif
apetyczny
apetyt
aplauz
aplikować
apodyktyczny
apolityczny
apopleksja
apostoł
aprobata
aprobować
aprobujący
apteka
aptekarz
