amator
amazonka
ambasada
ambasador
ambicja
ambitny
ambiwalentny
ambona
ambulans
ameryka
amerykaniec
amerykanin
amerykański
amfiteatr
amnestia
amnezja
amoniak
amoralny
amorficzny
amortyzator
amper
amputacja
amputować
amunicja
