żabka
żaden
żagiel
żałoba
żałobnik
żałobny
żałość
żałosny
żałować
żałujący
żaluzja
żargon
żargonowy
żarliwość
żarliwy
żarłoczność
żarłoczny
żarłok
żarówka
żartem
żartobliwy
żartować
żartowniś
