heban
hebanowy
heblować
hebrajczyk
hebrajski
hektar
helikopter
hemofilia
heraldyka
herbata
herbatnik
heretycki
heretyk
herezja
hermetycznie
hermetyczny
heroiczny
heroina
heroizm
herold
heterogeniczny
heteroseksualny
hetman
