zgadywać
zgaga
zgarniać
zgasić
zgięcie
zgiełk
zginać
zginąć
zgładzić
zgłaszać
zgłębiać
zgłoszenie
zgniatać
zgniły
zgoda
zgodnie
zgodny
zgorzkniały
zgrabny
zgraja
zgromadzenie
zgromadzić
zgroza
zgrupowanie
zgryźliwy
zgryzota
zgrzytać
zgrzytający
zgrzytanie
zgrzytliwy
zguba
zgubiony
zgubny
