sobie
sobota
socjalista
socjalistyczny
socjalizm
socjologia
soczewica
soczewka
soczysty
sojowy
sokół
solanka
solić
solidarność
solidny
solista
solniczka
sonda
sondować
sondowanie
sonet
sopel
sopran
sopranowy
sortować
sosjerka
sosna
sosnowy
sowiecki
