rówieśnik
równanie
równie
równik
równikowy
równina
równo
równoległa
równoległy
równoleżnik
równomierny
równonoc
równorzędny
równość
równowaga
równoważność
równoważyć
równoznaczny
równy
różanecznik
różaniec
różdżka
rózga
różne
różnić
różnica
różnicować
różnokolorowy
różnoraki
różnorodność
różnorodny
różności
różny
różowawy
różowy
