półciężarówka
półfinał
półgłosem
półgolf
półhalka
półka
półkole
półkolisty
półkula
półmisek
północ
północny
półokrąg
półpensówka
półprodukty
półszlachetny
półwysep
później
późniejszy
późno
późny
