reagować
reakcja
reakcjonista
reakcyjny
reaktor
realia
realista
realistyczny
realizm
realizować
realność
reanimacja
reanimować
rebelia
rebeliancki
rebeliant
recenzent
recenzja
recenzować
recenzowany
recepcja
recepcjonista
recepta
recesja
rechot
rechotać
recital
recytacja
recytować
redagować
redagowanie
redakcja
redakcyjny
redaktor
redukcja
redukować
reedukować
refektarz
referat
referencja
referendum
refleks
refleksja
refleksyjny
reflektor
reforma
reformacja
reformator
reformować
reformowanie
refren
regalia
regaty
regencja
regent
region
regionalny
reglamentacja
reglamentować
regresywny
reguła
regulacja
regulamin
regulaminowy
regularność
regularny
regulator
regulować
rehabilitacyjny
rehabilitować
reinkarnacja
rejestr
rejestracja
rejon
rejonowy
rekin
reklama
reklamować
reklamówka
rekomendacja
rekomendować
rekompensacyjny
rekompensata
rekompensować
rekonesans
rekonstrukcja
rekonstruować
rekonwalescencja
rekonwalescencyjny
rekordowy
rekreacja
rekrut
rekrutacja
rekrutować
rekultywować
rekwirować
rekwizycja
rekwizyty
relacja
relacjonować
relaks
relatywny
relegować
religia
religijny
relikt
relikwia
reminiscencja
reminiscencje
remis
remisować
remontować
renegat
renesans
renifer
renomowany
rentgenologia
reorganizacja
reorganizować
reperkusje
repertuar
replika
replikować
reporter
represja
represjonować
represyjny
reprezentacja
reprezentacyjny
reprezentant
reprezentatywny
reprezentować
reprodukcja
reprodukować
reprymenda
republika
republikanin
republikański
reputacja
resentyment
resocjalizacyjny
respekt
restauracja
restaurować
restrykcje
restrykcyjny
restytucja
reszka
reszta
resztka
resztki
retoryczny
retoryka
retrospekcja
retrospektywny
reumatyczny
reumatyzm
rewelacja
rewelacyjny
rewia
rewidować
rewizja
rewolta
rewolucja
rewolucjonista
rewolucjonizować
rewolucyjny
rewolwer
rewolwerowiec
rezerwa
rezerwacja
rezerwat
rezerwować
rezerwowy
rezerwuar
rezolucja
rezultat
rezydencja
rezydentny
rezygnacja
rezygnować
reżym
reżyser
reżyseria
reżyserować
