lecieć
leciwy
leczenie
leczniczy
leczyć
ledwie
ledwo
legalizować
legalność
legalny
legat
legenda
legendarny
legion
legislacyjny
legislatura
legitymacja
legowisko
lejce
lejek
lekarski
lekarstwo
lekarz
lekceważący
lekceważenie
lekceważyć
lekcja
lekki
lekkoatleta
lekkoatletyczny
lekkomyślnie
lekkomyślność
lekkomyślny
lektor
lemoniada
lenistwo
leniuchować
leniwy
lepić
lepiej
lepki
lepszy
lesbijka
lesbijski
lesisty
leśnictwo
leśniczy
leszczyna
letargiczny
letni
lewicowiec
lewicowy
leworęczny
lewostronny
leżak
