trąba
trąbić
trąbka
trącać
tracić
tradycja
tradycyjny
trądzik
trafiać
trafny
tragarz
tragedia
tragiczny
trajkotać
trajkotka
traktat
traktor
traktować
traktowanie
tramp
trampki
trampolina
tramwaj
trans
transakcja
transcendentny
transfer
transformator
transformować
transfuzja
transkrybować
transkrypcja
transmisja
transmitować
transparent
transport
transporter
transportować
transportowy
transwestyta
tranzystor
tranzyt
traper
trapez
trasa
traszka
tratwa
traumatyczny
trawa
trawestacja
trawiasty
trawić
trawienie
trawler
trawnik
trębacz
trędowaty
trefl
trend
trener
trening
trenować
treść
treser
tresować
trikowy
triumf
triumfalny
triumfować
triumfujący
trochę
trociny
trofeum
trojaczki
trójkąt
trójkątny
trójstronny
trójwymiarowy
trolejbus
tropić
tropiciel
tropik
tropikalny
tropiki
troska
troskliwy
trucht
trucizna
trudno
trudność
trudności
trudny
trufel
trujący
trumna
trunek
trupa
trupioblady
truskawka
trust
truteń
trwać
trwający
trwała
trwałość
trwały
trwanie
trwoga
trwonić
trybunał
trykot
trylogia
tryskać
trząść
trzask
trzaskać
trzasnąć
trzaśnięcie
trzcina
trzeba
trzeć
trzeci
trzeciorzędny
trzepaczka
trzepnąć
trzepnięcie
trzepnięty
trzepot
trzepotać
trzęsący
trzęsawisko
trzęsienie
trzeźwieć
trzeźwy
trzmiel
trzoda
trzonowy
trzpień
trzydzieści
trzydziesty
trzykrotnie
trzynaście
trzynasty
trzywarstwowy
